Molecule,MDEC-33,VE1_Dzp,ATSC6e,minaaN,SpMax4_Bhm,nAtomLAC,VE3_Dzs,pEC50
8,6.293005383572887,0.1662492499525395,-0.1391209999999997,3.889501323587237,3.702221226800292,0,-10.959598405246764,5.52
55,6.010105134440337,0.1378365454323255,0.3061420000000001,3.749964516384984,3.703324994618588,0,-11.361967975872268,5.8
(+/-)-112,9.5420752704438,0.1458827349613526,2.131388923297923,4.104766177343516,3.760786791002421,2,-7.149449402371082,7.54
89,8.397269619488725,0.1187956113480907,1.9297091513429727,3.827144387098224,3.701437264496946,0,-6.646978882425073,5.82
84,7.710276239303999,0.2007625908866657,-0.7206539348148153,3.835423773715397,3.701644171414983,0,-8.335546558825607,5.17
34,8.144880738843325,0.1276336848788169,5.369159420740748,3.832246427914552,3.701597649736322,0,-6.706685994530267,5.29
27,8.397269619488725,0.0877782383076889,-1.0733862915879009,3.834200875436865,3.7012651541241177,0,-5.350869189154184,7.5
22,8.397269619488725,0.1296438993672139,0.6704756874074054,3.832246427914552,3.701678270963828,0,-7.10868910589242,7.22
57,8.397269619488725,0.1154180239543179,0.7818139283950591,3.693357539025661,3.7025546055914784,0,-6.769898773568589,6.92
38,7.710276239303999,0.1118073443609821,0.4710715985185173,3.835423773715397,3.7018289305542296,0,-6.731657835109934,6.98
108,8.611072917307846,0.1822520930715787,1.9554491916116088,4.192197691496261,3.75445935013037,2,-6.054984184097403,6.89
10,6.293005383572887,0.0997869358039958,0.1626403333333335,3.848245382643501,3.701526716877345,0,-8.297819834350708,6.38
74,9.246992481717294,0.1199290820805724,0.3691610401234624,4.217967630803684,3.778766534929807,0,-7.193793895801964,7.64
73,9.246992481717294,0.2066144007599469,0.0884225500000094,4.216923693007978,3.7545335839895264,2,-6.53164366699973,7.08
71,9.246992481717294,0.182963278441843,0.2371672880658492,4.0415519834701055,3.742144425843288,2,-6.8888281444489206,7.19
44,10.204506521509575,0.1156179074236773,0.460394591111105,3.8213407931323378,3.701948601846644,0,-6.374234354666647,7.06
37,7.710276239303999,0.0807928729252359,-0.2327293911111174,3.837339747861289,3.701913802013274,0,-7.817191478188943,6.54
32,7.947659235360486,0.2071568915197822,0.6137130867346935,3.895879782682135,3.7024494480113,0,-10.34781525453166,6.29
75,9.897104885111355,0.1492549690413249,-0.1880657355371846,4.183283861059843,3.785305541079211,0,-6.66774718643957,8.05
56,7.947659235360486,0.0865774307822383,1.1126614926303833,3.7155325395295673,3.701766823252169,0,-6.279186960527405,6.26
104,8.397269619488725,0.1049502424674243,3.433921086419756,3.8165942433063216,3.677346016683477,0,-6.47850875046904,5.1
30,7.947659235360486,0.1568956049679244,0.8432104081632636,3.8728544505449225,3.70242423280453,0,-8.05656425749538,6.63
13,6.010105134440337,0.1523866108777882,0.2467500000000002,3.888853405273873,3.702420559048393,0,-15.367984731302618,6.25
